,Total Missing,Percentage (%),Data Type
company,112593,94.3069,float64
agent,16340,13.6862,float64
country,488,0.4087,str
children,4,0.0034,float64
arrival_date_month,0,0.0,str
arrival_date_week_number,0,0.0,int64
hotel,0,0.0,str
is_canceled,0,0.0,int64
stays_in_weekend_nights,0,0.0,int64
arrival_date_day_of_month,0,0.0,int64
adults,0,0.0,int64
stays_in_week_nights,0,0.0,int64
babies,0,0.0,int64
meal,0,0.0,str
lead_time,0,0.0,int64
arrival_date_year,0,0.0,int64
distribution_channel,0,0.0,str
market_segment,0,0.0,str
previous_bookings_not_canceled,0,0.0,int64
is_repeated_guest,0,0.0,int64
reserved_room_type,0,0.0,str
assigned_room_type,0,0.0,str
booking_changes,0,0.0,int64
previous_cancellations,0,0.0,int64
deposit_type,0,0.0,str
days_in_waiting_list,0,0.0,int64
customer_type,0,0.0,str
adr,0,0.0,float64
required_car_parking_spaces,0,0.0,int64
total_of_special_requests,0,0.0,int64
reservation_status,0,0.0,str
reservation_status_date,0,0.0,str
