Feature,Q1,Q3,IQR,Lower Bound,Upper Bound,Outlier Count,Outlier (%),Min,Max
lead_time,11.0,125.0,114.0,-160.0,296.0,2394,2.74,0.0,737.0
stays_in_weekend_nights,0.0,2.0,2.0,-3.0,5.0,213,0.24,0.0,19.0
stays_in_week_nights,1.0,4.0,3.0,-3.5,8.5,1514,1.74,0.0,50.0
adults,2.0,2.0,0.0,2.0,2.0,22733,26.06,0.0,55.0
children,0.0,0.0,0.0,0.0,0.0,8364,9.59,0.0,10.0
babies,0.0,0.0,0.0,0.0,0.0,914,1.05,0.0,10.0
previous_cancellations,0.0,0.0,0.0,0.0,0.0,1681,1.93,0.0,26.0
previous_bookings_not_canceled,0.0,0.0,0.0,0.0,0.0,3537,4.05,0.0,72.0
booking_changes,0.0,0.0,0.0,0.0,0.0,15803,18.12,0.0,18.0
days_in_waiting_list,0.0,0.0,0.0,0.0,0.0,855,0.98,0.0,391.0
adr,72.25,134.1,61.85,-20.525,226.875,2507,2.87,0.0,510.0
required_car_parking_spaces,0.0,0.0,0.0,0.0,0.0,7306,8.38,0.0,8.0
total_of_special_requests,0.0,1.0,1.0,-1.5,2.5,2670,3.06,0.0,5.0
